"","subject","flnm","time_stamp","eye","point","offset_deg","diff"
"5225",30,"C:/Data/WebEye/38.asc",1753325,"RIGHT",6,0.96,0
"5324",30,"C:/Data/WebEye/38.asc",1753325,"RIGHT",7,0.52,0
"5424",30,"C:/Data/WebEye/38.asc",1753325,"RIGHT",8,0.53,0
"7311",30,"C:/Data/WebEye/38.asc",2011989,"RIGHT",0,0.56,32434
"7411",30,"C:/Data/WebEye/38.asc",2011989,"RIGHT",1,0.16,0
"7511",30,"C:/Data/WebEye/38.asc",2011989,"RIGHT",2,0.56,0
"7610",30,"C:/Data/WebEye/38.asc",2011989,"RIGHT",3,0.34,0
"779",30,"C:/Data/WebEye/38.asc",2011989,"RIGHT",4,0.63,0
"789",30,"C:/Data/WebEye/38.asc",2011989,"RIGHT",5,0.66,0
"799",30,"C:/Data/WebEye/38.asc",2011989,"RIGHT",6,1.64,0
"809",30,"C:/Data/WebEye/38.asc",2011989,"RIGHT",7,0.17,0
"8114",30,"C:/Data/WebEye/38.asc",2011989,"RIGHT",8,0.53,0
"1105",31,"C:/Data/WebEye/39.asc",5092594,"RIGHT",0,0.39,0
"2104",31,"C:/Data/WebEye/39.asc",5092594,"RIGHT",1,0.48,0
"3105",31,"C:/Data/WebEye/39.asc",5092594,"RIGHT",2,0.29,0
"4106",31,"C:/Data/WebEye/39.asc",5092594,"RIGHT",3,0.14,0
