method,smoothing,parameter,RMSE_n_saccades,RMSE_mean_sacc_dur,RMSE_sd_sacc_dur,mean_error_n_saccades,mean_error_mean_sacc_dur,mean_error_sd_sacc_dur
IDT,sg,disp_1.5,4.835648368691738,159.6971886559304,76.64084579856528,1.9174757281553352,19.691853262599672,25.19044382784824
IDT,sg,disp_2,4.948276153692709,156.1791109459002,77.64227403202015,2.7961165048543637,7.840057798565438,18.216382979872762
IDT,sg,disp_1,5.223639322061803,165.31882116406146,94.59748854827382,1.4029126213592198,37.098856492283666,46.25222578881787
IHMM,mean,none,2.232809193192263,175.01018569348952,143.21051357652993,-1.1990291262135924,28.928379627361487,19.140185323246065
IHMM,median,none,3.104178205273836,151.6484586541363,62.17780979033988,-1.5485436893203877,-2.0884782421777426,-4.939347382151353
IHMM,raw,none,3.5451320377453577,161.3023503738989,69.90118327125398,-1.7912621359223304,-0.09045851286740723,-8.545847506809777
IHMM,sg,none,3.496877941794055,254.72485431486962,207.65299875673585,-2.742718446601942,143.6856710011031,96.94495739377264
IVT,mean,vel_35,2.0515208661082798,152.55069939628845,63.72981186587964,-0.9854368932038843,8.247917219025005,-8.740686871794138
IVT,mean,vel_30,2.070364162892676,151.86633606633433,62.9296185176271,-0.23786407766990278,10.157596685246391,-6.005276687081527
IVT,mean,vel_40,2.47021087107413,152.37428240668717,64.0017985878572,-1.5776699029126235,6.20982887930913,-11.289249893158035
IVT,mean,vel_25,2.6658574824069,152.26554650604808,63.78141579137808,0.8640776699029132,13.130395368266266,-1.378446339824642
IVT,mean,vel_45,2.877768822900523,151.99235890975845,64.75203584080027,-2.0097087378640777,3.6516677040192906,-12.875812816130445
IVT,mean,vel_50,3.2268593646490555,151.42989103684113,65.36299552918626,-2.364077669902913,0.8974943404987412,-14.153380586624435
IVT,mean,vel_55,3.6243512978320833,151.60240291220887,65.68127503059493,-2.6990291262135937,-1.1003331957691311,-14.73749443212787
IVT,mean,vel_20,3.789997054075755,152.80235592932718,64.31366333334186,2.199029126213592,17.78806281110061,5.904459328337645
IVT,mean,vel_60,3.8873706390614298,152.92827555960866,66.68905520012594,-2.985436893203884,-3.0020078152869063,-15.53935971747471
IVT,mean,vel_65,4.164692088759357,154.38513518173377,67.92563390906516,-3.2669902912621382,-4.440823123164534,-15.685105405800625
IVT,mean,vel_70,4.404873735007536,156.66728814221503,69.60664485730317,-3.538834951456312,-5.95286629794672,-16.890434229071715
IVT,median,vel_35,2.7154716731660065,149.13927686922923,64.9634508422146,-0.7912621359223335,-4.638143553872414,-11.389209860866778
